student_id,student_name,class_name,period
40018273,Amara Bell,Chemistry AP,3
40157492,Noah Carter,Chemistry AP,3
40286351,Elena Davis,Chemistry AP,3
40374920,Julian Flores,Chemistry AP,3
40428169,Maya Grant,Chemistry AP,3
40593618,Owen Hayes,Chemistry AP,3
40645287,Leila Irving,Chemistry AP,3
40719836,Theo Jensen,Chemistry AP,3
40862541,Nora Kim,Chemistry AP,3
40937158,Isaac Lewis,Chemistry AP,3
40084726,Zara Morgan,Chemistry AP,3
40126394,Milo Nguyen,Chemistry AP,3
40271845,Aisha Patel,Chemistry AP,3
40319567,Rowan Quinn,Chemistry AP,3
40463912,Sofia Reed,Chemistry AP,3
40518243,Caleb Stone,Chemistry AP,3
40697531,Ivy Turner,Chemistry AP,3
40734629,Leo Vega,Chemistry AP,3
40815973,Anika Ward,Chemistry AP,3
40962814,Mateo Xu,Chemistry AP,3
40031865,Lina Young,Chemistry AP,3
40189627,Eli Brooks,Chemistry AP,3
40245193,Clara Cole,Chemistry AP,3
40386714,Jonah Diaz,Chemistry AP,3
40497528,Ruby Ellis,Chemistry AP,3
40562479,Micah Ford,Chemistry AP,3
40618352,Isla Green,Chemistry AP,3
40752961,Ezra Hill,Chemistry AP,3
40827435,Freya Ingram,Chemistry AP,3
40981562,Luca James,Chemistry AP,3
